72# Number of electrodes
# x z position for each electrode
0.0	299.29
1.0	299.20
2.0	299.10
3.0	298.98
4.0	298.85
5.0	298.72
6.0	298.58
7.0	298.50
8.0	298.42
9.0	298.32
10.0	298.21
11.0	298.21
12.0	298.21
13.0	298.21
14.0	298.20
15.0	298.19
16.0	298.18
17.0	298.12
18.0	298.05
19.0	297.99
20.0	297.93
21.0	297.84
22.0	297.74
23.0	297.58
24.0	297.42
25.0	297.43
26.0	297.44
27.0	297.38
28.0	297.31
29.0	297.19
30.0	297.06
31.0	296.98
32.0	296.89
33.0	296.73
34.0	296.56
35.0	296.49
36.0	296.41
37.0	296.36
38.0	296.30
39.0	296.21
40.0	296.12
41.0	296.04
42.0	295.95
43.0	295.86
44.0	295.76
45.0	295.67
46.0	295.58
47.0	295.44
48.0	295.29
49.0	295.23
50.0	295.17
51.0	295.17
52.0	295.16
53.0	295.12
54.0	295.08
55.0	295.04
56.0	295.00
57.0	294.98
58.0	294.95
59.0	294.81
60.0	294.66
61.0	294.51
62.0	294.36
63.0	294.48
64.0	294.60
65.0	294.57
66.0	294.54
67.0	294.30
68.0	293.80
69.0	293.70
70.0	293.63
71.0	293.67
2949# Number of data
# a b m n i/mA u/mV
4	9	32	37	145.408468	-9.417513
4	9	37	33	145.408468	7.379600
4	9	33	38	145.408468	-8.916098
4	9	38	34	145.408468	6.943981
4	9	34	39	145.408468	-8.324138
4	10	36	42	151.348714	-10.312005
4	10	42	37	151.348714	8.231272
4	10	37	43	151.348714	-9.377655
4	10	43	38	151.348714	7.415848
4	10	38	44	151.348714	-8.916409
4	10	44	39	151.348714	7.167594
4	10	39	45	151.348714	-8.504615
4	10	45	40	151.348714	7.089724
4	10	40	46	151.348714	-8.436656
4	10	46	41	151.348714	6.911109
4	10	41	47	151.348714	-8.068785
4	11	42	49	111.142970	-7.635427
4	11	49	43	111.142970	6.398178
4	11	43	50	111.142970	-7.226730
4	11	50	44	111.142970	5.905629
4	11	44	51	111.142970	-6.623101
4	11	51	45	111.142970	5.445600
4	11	45	52	111.142970	-6.119705
4	11	52	46	111.142970	4.930918
4	11	46	53	111.142970	-5.702161
4	11	53	47	111.142970	4.688172
4	11	47	54	111.142970	-5.447946
4	12	48	56	151.001007	-9.214524
4	12	56	49	151.001007	8.099878
4	12	49	57	151.001007	-8.839966
4	12	57	50	151.001007	7.482140
4	12	50	58	151.001007	-8.294375
4	12	58	51	151.001007	7.167015
4	12	51	59	151.001007	-8.135156
4	12	59	52	151.001007	7.069133
4	12	52	60	151.001007	-8.073934
4	12	60	53	151.001007	6.862068
4	12	53	61	151.001007	-7.753503
4	13	54	63	142.811406	-8.870831
4	13	63	55	142.811406	7.697370
4	13	55	64	142.811406	-8.057871
4	13	64	56	142.811406	7.052151
4	13	56	65	142.811406	-7.521449
4	13	65	57	142.811406	6.572661
